EURJPY_time,EURJPY_Open,EURJPY_High,EURJPY_Low,EURJPY_Close,EURJPY_Volume
01.01.2000 00:00:00.000,102.900,102.900,102.900,102.900,0
02.01.2000 00:00:00.000,102.900,102.900,102.900,102.900,0
03.01.2000 00:00:00.000,102.760,104.340,102.200,104.000,102764.8672
04.01.2000 00:00:00.000,103.870,106.510,103.690,106.280,169259.7813
05.01.2000 00:00:00.000,106.290,107.730,105.670,107.570,326429.5625
06.01.2000 00:00:00.000,107.540,109.240,107.050,108.680,193439.75
07.01.2000 00:00:00.000,108.590,109.100,107.890,108.420,365722.0313
08.01.2000 00:00:00.000,108.420,108.420,108.420,108.420,0
09.01.2000 00:00:00.000,108.420,108.420,108.420,108.420,0
10.01.2000 00:00:00.000,108.080,108.800,106.910,107.780,117877.3438
11.01.2000 00:00:00.000,107.710,109.650,107.710,109.500,217619.7188
12.01.2000 00:00:00.000,109.500,109.770,108.520,109.170,199484.7344
13.01.2000 00:00:00.000,109.120,109.510,108.550,108.820,335497.0625
14.01.2000 00:00:00.000,108.860,109.220,107.090,107.060,287137.125
15.01.2000 00:00:00.000,107.060,107.060,107.060,107.060,0
16.01.2000 00:00:00.000,107.060,107.060,107.060,107.060,0
17.01.2000 00:00:00.000,107.210,107.250,105.520,106.170,250867.1719
18.01.2000 00:00:00.000,106.140,107.100,105.920,107.080,272024.625
19.01.2000 00:00:00.000,107.110,107.420,106.370,106.680,193439.75
20.01.2000 00:00:00.000,106.650,107.270,106.200,107.210,181349.7656
21.01.2000 00:00:00.000,107.210,107.240,105.220,105.660,395946.9688
22.01.2000 00:00:00.000,105.660,105.660,105.660,105.660,0
23.01.2000 00:00:00.000,105.660,105.660,105.660,105.660,0
24.01.2000 00:00:00.000,105.480,106.460,105.070,106.320,111832.3516
25.01.2000 00:00:00.000,106.330,106.820,105.680,106.110,175304.7656
26.01.2000 00:00:00.000,106.120,106.520,105.650,105.770,166237.2813
27.01.2000 00:00:00.000,105.790,105.950,103.490,103.880,235754.6875
