Gmt time,Open,High,Low,Close,Volume
01.01.2000 00:00:00.000,254.160,254.160,254.160,254.160,0
02.01.2000 00:00:00.000,254.160,254.160,254.160,254.160,0
03.01.2000 00:00:00.000,253.970,254.420,253.970,253.900,2347.5154
04.01.2000 00:00:00.000,254.030,254.230,254.030,254.070,1770.9326
05.01.2000 00:00:00.000,253.860,254.320,253.860,253.870,2965.2825
06.01.2000 00:00:00.000,253.980,254.610,253.980,254.020,3088.8359
07.01.2000 00:00:00.000,254.230,254.670,253.980,254.020,3953.71
08.01.2000 00:00:00.000,254.020,254.020,254.020,254.020,0
09.01.2000 00:00:00.000,254.020,254.020,254.020,254.020,0
10.01.2000 00:00:00.000,254.140,254.530,254.140,254.060,4365.5547
11.01.2000 00:00:00.000,254.250,254.950,254.250,254.210,2759.3601
12.01.2000 00:00:00.000,254.170,254.480,254.170,254.260,4242.0015
13.01.2000 00:00:00.000,254.430,254.510,254.430,254.330,4324.3706
14.01.2000 00:00:00.000,254.340,254.670,254.340,254.400,4612.6616
15.01.2000 00:00:00.000,254.400,254.400,254.400,254.400,0
16.01.2000 00:00:00.000,254.400,254.400,254.400,254.400,0
17.01.2000 00:00:00.000,254.400,254.400,254.400,254.400,0
18.01.2000 00:00:00.000,254.410,254.450,254.410,254.440,3047.6516
19.01.2000 00:00:00.000,254.440,254.850,254.440,254.660,2471.0688
20.01.2000 00:00:00.000,254.570,254.940,254.570,254.640,3994.8945
21.01.2000 00:00:00.000,254.560,255.100,254.560,254.580,3912.5256
22.01.2000 00:00:00.000,254.580,254.580,254.580,254.580,0
23.01.2000 00:00:00.000,254.580,254.580,254.580,254.580,0
24.01.2000 00:00:00.000,254.590,254.900,254.590,254.620,3006.467
25.01.2000 00:00:00.000,254.620,254.870,254.620,254.670,2553.4377
26.01.2000 00:00:00.000,254.650,254.850,254.650,254.680,2759.3601
27.01.2000 00:00:00.000,254.680,255.270,254.680,254.830,5065.6909
28.01.2000 00:00:00.000,254.830,255.130,254.830,254.790,3130.0205
29.01.2000 00:00:00.000,254.790,254.790,254.790,254.790,0
30.01.2000 00:00:00.000,254.790,254.790,254.790,254.790,0
31.01.2000 00:00:00.000,254.790,255.130,254.790,254.910,3459.4963
01.02.2000 00:00:00.000,254.910,255.220,254.910,254.850,2059.2241
02.02.2000 00:00:00.000,254.850,255.200,254.850,254.910,4653.8462
03.02.2000 00:00:00.000,254.910,255.380,254.910,255.030,2306.3308
04.02.2000 00:00:00.000,255.020,255.380,255.020,255.250,4200.8169
05.02.2000 00:00:00.000,255.250,255.250,255.250,255.250,0
06.02.2000 00:00:00.000,255.250,255.250,255.250,255.250,0
07.02.2000 00:00:00.000,255.050,255.250,255.050,255.240,2594.6223
08.02.2000 00:00:00.000,255.000,255.420,255.000,255.110,2388.7
09.02.2000 00:00:00.000,255.000,255.300,255.000,255.050,4818.584
10.02.2000 00:00:00.000,255.170,255.590,255.170,255.200,3953.71
11.02.2000 00:00:00.000,255.200,255.720,255.200,255.450,1770.9326
12.02.2000 00:00:00.000,255.450,255.450,255.450,255.450,0
13.02.2000 00:00:00.000,255.450,255.450,255.450,255.450,0
14.02.2000 00:00:00.000,255.450,255.650,255.450,255.190,2265.1465
15.02.2000 00:00:00.000,255.190,255.860,255.190,255.330,5189.2446
16.02.2000 00:00:00.000,255.330,255.600,255.330,255.410,5065.6909
17.02.2000 00:00:00.000,255.410,255.780,255.410,255.450,1441.4568
18.02.2000 00:00:00.000,255.450,256.000,255.450,255.630,5189.2446
19.02.2000 00:00:00.000,255.630,255.630,255.630,255.630,0
20.02.2000 00:00:00.000,255.630,255.630,255.630,255.630,0
21.02.2000 00:00:00.000,255.630,255.630,255.630,255.630,0
22.02.2000 00:00:00.000,256.310,257.670,256.310,257.450,4324.3706
23.02.2000 00:00:00.000,257.450,257.670,257.310,256.650,5436.3516
24.02.2000 00:00:00.000,256.390,257.000,256.390,256.220,2182.7773
25.02.2000 00:00:00.000,256.150,256.650,256.150,256.370,4200.8169
26.02.2000 00:00:00.000,256.370,256.370,256.370,256.370,0
27.02.2000 00:00:00.000,256.370,256.370,256.370,256.370,0
28.02.2000 00:00:00.000,256.280,256.700,256.280,256.330,5106.8755
29.02.2000 00:00:00.000,256.330,257.130,256.330,256.180,5230.4292
01.03.2000 00:00:00.000,256.180,256.570,256.180,255.860,4324.3706
02.03.2000 00:00:00.000,255.860,256.440,255.520,256.000,2512.2532
03.03.2000 00:00:00.000,256.000,256.340,256.000,256.040,3665.4187
04.03.2000 00:00:00.000,256.040,256.040,256.040,256.040,0
05.03.2000 00:00:00.000,256.040,256.040,256.040,256.040,0
06.03.2000 00:00:00.000,256.320,256.350,256.320,256.060,5312.7979
07.03.2000 00:00:00.000,256.060,256.390,256.060,256.000,1565.0103
08.03.2000 00:00:00.000,256.190,256.330,256.190,256.040,4695.0308
09.03.2000 00:00:00.000,256.180,256.690,256.180,256.260,4406.7393
