Gmt time,Open,High,Low,Close,Volume
26.01.2017 00:00:00.000,178.080,178.890,177.570,178.730,40.0731
27.01.2017 00:00:00.000,178.840,179.200,177.340,177.510,38.1895
28.01.2017 00:00:00.000,177.510,177.510,177.510,177.510,0
29.01.2017 00:00:00.000,177.510,177.510,177.510,177.510,0
30.01.2017 00:00:00.000,176.940,176.940,174.600,175.820,41.4056
31.01.2017 00:00:00.000,175.610,175.660,173.640,174.590,33.0146
01.02.2017 00:00:00.000,175.470,175.800,172.920,174.350,46.6865
02.02.2017 00:00:00.000,174.430,174.974,173.800,174.634,36.9219
03.02.2017 00:00:00.000,175.034,176.364,174.948,175.864,39.6093
04.02.2017 00:00:00.000,175.864,175.864,175.864,175.864,0
05.02.2017 00:00:00.000,175.864,175.864,175.864,175.864,0
06.02.2017 00:00:00.000,175.500,175.980,174.520,175.904,43.4729
07.02.2017 00:00:00.000,176.043,178.640,176.004,178.430,53.3324
08.02.2017 00:00:00.000,177.601,177.601,175.950,176.194,49.6107
09.02.2017 00:00:00.000,176.364,177.834,176.000,177.251,44.4833
10.02.2017 00:00:00.000,177.593,178.880,176.800,178.772,40.024
11.02.2017 00:00:00.000,178.772,178.772,178.772,178.772,0
12.02.2017 00:00:00.000,178.772,178.772,178.772,178.772,0
13.02.2017 00:00:00.000,179.500,179.900,178.855,179.384,51.9877
14.02.2017 00:00:00.000,178.893,180.111,178.455,180.111,45.4522
15.02.2017 00:00:00.000,180.202,181.924,179.840,181.743,48.2166
16.02.2017 00:00:00.000,181.774,182.800,180.900,181.492,51.7174
17.02.2017 00:00:00.000,181.253,181.584,180.044,180.741,39.5706
18.02.2017 00:00:00.000,180.741,180.741,180.741,180.741,0
19.02.2017 00:00:00.000,180.741,180.741,180.741,180.741,0
20.02.2017 00:00:00.000,180.741,180.741,180.741,180.741,0
21.02.2017 00:00:00.000,180.400,180.794,179.282,180.193,51.7254
22.02.2017 00:00:00.000,180.165,181.350,180.164,181.214,39.6859
23.02.2017 00:00:00.000,182.224,182.503,180.960,181.753,43.5611
24.02.2017 00:00:00.000,180.494,181.500,179.900,181.402,46.5068
25.02.2017 00:00:00.000,181.402,181.402,181.402,181.402,0
26.02.2017 00:00:00.000,181.402,181.402,181.402,181.402,0
27.02.2017 00:00:00.000,181.271,181.350,179.290,179.450,42.4853
28.02.2017 00:00:00.000,179.521,180.684,179.380,179.901,38.5332
01.03.2017 00:00:00.000,180.565,182.552,180.150,181.972,49.368
02.03.2017 00:00:00.000,181.883,181.915,180.460,180.592,44.6467
03.03.2017 00:00:00.000,180.665,181.360,179.794,180.105,41.9772
04.03.2017 00:00:00.000,180.105,180.105,180.105,180.105,0
05.03.2017 00:00:00.000,180.105,180.105,180.105,180.105,0
06.03.2017 00:00:00.000,179.944,181.000,179.670,180.490,44.192
07.03.2017 00:00:00.000,181.062,181.402,180.211,180.502,45.293
08.03.2017 00:00:00.000,181.131,181.131,179.321,179.381,45.8291
09.03.2017 00:00:00.000,179.742,179.742,175.914,177.213,62.8767
10.03.2017 00:00:00.000,178.441,179.505,177.421,177.840,43.6284
11.03.2017 00:00:00.000,177.840,177.840,177.840,177.840,0
12.03.2017 00:00:00.000,177.840,177.840,177.840,177.840,0
13.03.2017 00:00:00.000,177.937,178.084,176.943,176.948,0.6272
14.03.2017 00:00:00.000,176.287,176.835,175.681,175.755,0.8103
15.03.2017 00:00:00.000,175.692,176.280,174.811,175.843,40.2784
16.03.2017 00:00:00.000,178.631,179.000,176.833,177.305,39.0958
17.03.2017 00:00:00.000,176.380,176.830,175.660,175.670,57.19
18.03.2017 00:00:00.000,175.670,175.670,175.670,175.670,0
19.03.2017 00:00:00.000,175.670,175.670,175.670,175.670,0
20.03.2017 00:00:00.000,175.640,176.190,175.190,175.750,50.1
21.03.2017 00:00:00.000,176.190,176.200,173.860,173.900,73.88
22.03.2017 00:00:00.000,174.360,175.070,172.860,174.840,68.18
23.03.2017 00:00:00.000,174.280,175.680,173.690,174.880,64.27
24.03.2017 00:00:00.000,175.360,175.600,173.400,173.923,52.4718
25.03.2017 00:00:00.000,173.923,173.923,173.923,173.923,0
26.03.2017 00:00:00.000,173.923,173.923,173.923,173.923,0
27.03.2017 00:00:00.000,172.750,174.204,172.280,173.794,64.93
28.03.2017 00:00:00.000,173.642,174.994,173.142,174.541,61.69
29.03.2017 00:00:00.000,174.413,174.534,173.522,173.963,54.4
30.03.2017 00:00:00.000,174.092,174.610,173.710,173.894,52.14
31.03.2017 00:00:00.000,174.101,174.954,173.742,174.233,49.71
01.04.2017 00:00:00.000,174.233,174.233,174.233,174.233,0
02.04.2017 00:00:00.000,174.233,174.233,174.233,174.233,0
